"rank","title","description","runtime","genre","rating","votes","metascore","directors","actors","gross_earning_in_mil_doll","certificate_rating"
16,"Mortal Engines","In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",128,"Action, Adventure, Fantasy",6.1,80294,44,"Christian Rivers","Hera Hilmar",15.95,"U/A"
17,"Green Book","A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",130,"Biography, Comedy, Drama",8.2,240442,69,"Peter Farrelly","Viggo Mortensen",85.08,"U/A"
18,"A Star Is Born","A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.",136,"Drama, Music, Romance",7.7,274233,88,"Bradley Cooper","Lady Gaga",215.29,"U/A"
19,"A Quiet Place","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",90,"Drama, Horror, Sci-Fi",7.5,323227,82,"John Krasinski","Emily Blunt",188.02,"A"
20,"The Predator","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",107,"Action, Adventure, Sci-Fi",5.4,101245,48,"Shane Black","Boyd Holbrook",51.02,"A"
21,"Crazy Rich Asians","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",120,"Comedy, Drama, Romance",6.9,107893,74,"Jon M. Chu","Constance Wu",174.53,"U/A"
22,"Holmes & Watson","A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.",90,"Comedy, Crime, Mystery",3.8,21698,24,"Etan Cohen","Will Ferrell",30.57,"PG-13"
23,"The Happytime Murders","When the puppet cast of a '90s children's TV show begin to get murdered one by one, a disgraced LAPD detective-turned-private eye puppet takes on the case.",91,"Action, Comedy, Crime",5.4,19558,27,"Brian Henson","Melissa McCarthy",20.71,"R"
24,"Black Panther","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",134,"Action, Adventure, Sci-Fi",7.3,540502,88,"Ryan Coogler","Chadwick Boseman",700.06,"U/A"
25,"Robin Hood","A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.",116,"Action, Adventure, Thriller",5.3,48667,32,"Otto Bathurst","Taron Egerton",30.82,"U/A"
26,"The Death and Life of John F. Donovan","A decade after the death of an American TV star, a young actor reminisces the written correspondence he shared with him, as well as the impact those letters had on both their lives.",123,"Drama",6.2,1824,28,"Xavier Dolan","Natalie Portman",0.13,"Unrated"
27,"Venom","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",112,"Action, Sci-Fi, Thriller",6.7,302903,35,"Ruben Fleischer","Tom Hardy",213.52,"U/A"
28,"Mary Poppins Returns","Decades after her original visit, the magical nanny returns to help the Banks siblings and Michael's children through a difficult time in their lives.",130,"Comedy, Family, Fantasy",6.8,60693,66,"Rob Marshall","Emily Blunt",171.96,"U"
29,"Hex","A couple's holiday romance is thrown into chaos as they are afflicted by a malicious force.",85,"Horror, Thriller",5.3,1888,NA,"Rudolf Buitendach","Jenny Boyd",NA,"Unrated"
30,"Hotel Mumbai","The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.",123,"Drama, History, Thriller",7.6,29160,64,"Anthony Maras","Dev Patel",9.65,"R"
31,"Ready Player One","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",140,"Action, Adventure, Sci-Fi",7.5,315187,64,"Steven Spielberg","Tye Sheridan",137.69,"U/A"
32,"First Man","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",141,"Biography, Drama, History",7.3,134179,84,"Neil Armstrong","Ryan Gosling",44.94,"U/A"
33,"BlacKkKlansman","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",135,"Biography, Crime, Drama",7.5,163217,83,"Spike Lee","John David Washington",48.69,"R"
